epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,141.137,1.72307,2.63885,1.40489,0.38516,0.29517,0.24313,0.06972,2.34356,2.43892,1.73942,0.000664188,0.000664188,0.000664188
2,272.102,1.74431,1.74919,1.40698,0.48594,0.47901,0.40073,0.14197,2.11042,1.92803,1.47699,0.00127815,0.00127815,0.00127815
3,398.037,1.71293,1.54153,1.3802,0.6444,0.52565,0.53163,0.1916,2.15002,1.47105,1.55446,0.00183932,0.00183932,0.00183932
4,524.445,1.67498,1.46895,1.36043,0.66686,0.5832,0.585,0.21713,2.06443,1.4455,1.40491,0.0017624,0.0017624,0.0017624
5,653.384,1.64395,1.38249,1.3405,0.72231,0.60687,0.62452,0.24452,1.96493,1.45055,1.42454,0.0016832,0.0016832,0.0016832
6,783.193,1.62095,1.33846,1.3314,0.71894,0.59478,0.63475,0.2669,1.90619,1.29163,1.39284,0.001604,0.001604,0.001604
7,908.922,1.58553,1.25549,1.30937,0.77839,0.6813,0.72341,0.3302,1.74703,1.14908,1.29048,0.0015248,0.0015248,0.0015248
8,1034.24,1.55224,1.20368,1.28248,0.76816,0.61196,0.66038,0.257,2.03459,1.20633,1.39977,0.0014456,0.0014456,0.0014456
9,1157.88,1.53499,1.1629,1.27234,0.77923,0.65788,0.70659,0.31637,1.81014,1.14176,1.31129,0.0013664,0.0013664,0.0013664
10,1281.5,1.53157,1.14673,1.2576,0.7817,0.68448,0.72241,0.31663,1.82637,1.08447,1.30685,0.0012872,0.0012872,0.0012872
11,1403.89,1.51388,1.13114,1.26335,0.81252,0.69148,0.73992,0.34151,1.76962,1.10038,1.29248,0.001208,0.001208,0.001208
12,1528.26,1.48885,1.09823,1.25578,0.79527,0.68957,0.72964,0.27062,2.08711,1.11175,1.39285,0.0011288,0.0011288,0.0011288
13,1651.69,1.46877,1.07338,1.24702,0.8059,0.69465,0.72794,0.31084,1.90143,1.07367,1.33448,0.0010496,0.0010496,0.0010496
14,1776.95,1.46117,1.04724,1.23529,0.80506,0.70674,0.75214,0.34631,1.71157,1.01823,1.25507,0.0009704,0.0009704,0.0009704
15,1901.36,1.43061,1.01609,1.21215,0.828,0.71353,0.77515,0.3765,1.65812,0.97805,1.23183,0.0008912,0.0008912,0.0008912
16,2024.6,1.4168,0.96928,1.20369,0.83671,0.73015,0.78777,0.35476,1.77432,0.98141,1.28085,0.000812,0.000812,0.000812
17,2145.73,1.38892,0.91998,1.18817,0.83713,0.72646,0.78078,0.38663,1.60124,0.93166,1.20379,0.0007328,0.0007328,0.0007328
18,2268.81,1.37433,0.8857,1.18396,0.83882,0.7283,0.79014,0.35952,1.76167,0.91915,1.25822,0.0006536,0.0006536,0.0006536
19,2391.59,1.36353,0.87687,1.17953,0.83066,0.73855,0.78469,0.37548,1.64796,0.92594,1.21861,0.0005744,0.0005744,0.0005744
20,2512.36,1.35705,0.85102,1.18459,0.85005,0.7465,0.80938,0.3794,1.71166,0.90622,1.23717,0.0004952,0.0004952,0.0004952
21,2633.54,1.33958,0.83731,1.16595,0.84381,0.73886,0.80818,0.40144,1.58659,0.88639,1.19325,0.000416,0.000416,0.000416
22,2754.66,1.32193,0.81214,1.15596,0.80004,0.74828,0.78769,0.37902,1.66367,0.87922,1.21659,0.0003368,0.0003368,0.0003368
23,2879.14,1.2959,0.7961,1.13822,0.8263,0.74746,0.79509,0.4006,1.57328,0.85652,1.1882,0.0002576,0.0002576,0.0002576
24,2998.43,1.28408,0.78339,1.13733,0.8343,0.76547,0.81179,0.41586,1.55541,0.84801,1.17661,0.0001784,0.0001784,0.0001784
25,3122.55,1.28174,0.76427,1.14296,0.84731,0.75191,0.81494,0.41778,1.55755,0.8358,1.17315,9.92e-05,9.92e-05,9.92e-05
