epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.5144,0.98312,2.78857,1.18444,0.36715,0.32803,0.29605,0.20141,1.24717,2.35096,1.23217,7.71892e-05,7.71892e-05,7.71892e-05
2,29.7532,1.0153,2.72013,1.20679,0.33949,0.35899,0.32301,0.22801,1.1619,2.22639,1.19369,0.000150324,0.000150324,0.000150324
3,42.1938,1.00358,2.57068,1.21405,0.40234,0.39193,0.35631,0.25231,1.1555,2.15046,1.19589,0.000217176,0.000217176,0.000217176
4,54.5241,1.02262,2.54716,1.22655,0.40198,0.43166,0.38509,0.2842,1.0845,2.07374,1.19302,0.000209726,0.000209726,0.000209726
5,67.5206,0.9989,2.37125,1.18799,0.45796,0.43379,0.42843,0.31963,1.04958,2.00999,1.1613,0.000200301,0.000200301,0.000200301
6,80.8437,0.983,2.29294,1.1999,0.51192,0.43602,0.45337,0.32551,1.13357,1.92323,1.21227,0.000190876,0.000190876,0.000190876
7,94.4832,0.97486,2.22233,1.18665,0.47262,0.51573,0.48823,0.36651,1.01774,1.83468,1.1332,0.000181451,0.000181451,0.000181451
8,107.353,0.94699,2.13095,1.17843,0.52038,0.53271,0.51888,0.39093,1.01525,1.72253,1.15896,0.000172026,0.000172026,0.000172026
9,120.189,0.93389,2.0743,1.16926,0.47006,0.58718,0.52989,0.41108,0.9463,1.66903,1.12791,0.000162602,0.000162602,0.000162602
10,132.863,0.93888,1.99611,1.18199,0.54217,0.60709,0.57064,0.44151,0.95486,1.61002,1.1151,0.000153177,0.000153177,0.000153177
11,145.284,0.9288,1.91351,1.18272,0.52613,0.63091,0.58461,0.45362,0.95393,1.59142,1.13397,0.000143752,0.000143752,0.000143752
12,158.015,0.9223,1.86641,1.18217,0.58869,0.63973,0.6181,0.47731,0.97776,1.49744,1.14954,0.000134327,0.000134327,0.000134327
13,169.953,0.89834,1.83599,1.16502,0.60971,0.63016,0.63153,0.49072,0.96155,1.47839,1.1525,0.000124902,0.000124902,0.000124902
14,182.057,0.91652,1.83311,1.17837,0.61995,0.64665,0.66412,0.49428,1.03214,1.40628,1.15722,0.000115478,0.000115478,0.000115478
15,194.651,0.88225,1.75892,1.15896,0.62859,0.68827,0.67979,0.52636,0.95726,1.39719,1.12041,0.000106053,0.000106053,0.000106053
16,209.082,0.86628,1.85155,1.17222,0.58653,0.71627,0.67177,0.50179,1.02701,1.44484,1.11298,9.6628e-05,9.6628e-05,9.6628e-05
17,221.487,0.79289,1.63504,1.11301,0.61523,0.67469,0.693,0.51413,1.03115,1.36889,1.14186,8.72032e-05,8.72032e-05,8.72032e-05
18,232.784,0.75014,1.50805,1.10874,0.68419,0.66232,0.70045,0.53575,0.97143,1.32882,1.10868,7.77784e-05,7.77784e-05,7.77784e-05
19,244.147,0.74178,1.4311,1.08353,0.6814,0.70208,0.7226,0.55956,0.93335,1.30018,1.10689,6.83536e-05,6.83536e-05,6.83536e-05
20,255.851,0.75043,1.42602,1.09446,0.71764,0.69724,0.74007,0.5697,0.94536,1.26992,1.10148,5.89288e-05,5.89288e-05,5.89288e-05
21,267.67,0.73402,1.40421,1.08237,0.71401,0.69816,0.75304,0.57011,0.97362,1.24427,1.11217,4.9504e-05,4.9504e-05,4.9504e-05
22,279.571,0.74124,1.38194,1.09038,0.74017,0.69247,0.75886,0.57441,0.97748,1.2396,1.10841,4.00792e-05,4.00792e-05,4.00792e-05
23,291.314,0.73765,1.34868,1.07424,0.7451,0.71271,0.7676,0.58743,0.95806,1.22759,1.10653,3.06544e-05,3.06544e-05,3.06544e-05
24,303.092,0.74273,1.37972,1.08848,0.7519,0.70717,0.76871,0.59215,0.93653,1.21495,1.09611,2.12296e-05,2.12296e-05,2.12296e-05
25,314.997,0.72873,1.32357,1.07329,0.72999,0.7302,0.77081,0.59875,0.92062,1.20688,1.08937,1.18048e-05,1.18048e-05,1.18048e-05
